tier,fidelity,L_tokens,refresh_interval_s,N_memory,N_accelerator,binding_at_this_ri
a6000,sum80,8192,5,7106,1,accelerator
a6000,sum80,8192,15,7106,4,accelerator
a6000,sum80,8192,30,7106,9,accelerator
a6000,sum80,8192,60,7106,19,accelerator
a6000,sum80,8192,300,7106,97,accelerator
a6000,sum80,16384,5,7106,0,accelerator
a6000,sum80,16384,15,7106,2,accelerator
a6000,sum80,16384,30,7106,4,accelerator
a6000,sum80,16384,60,7106,9,accelerator
a6000,sum80,16384,300,7106,49,accelerator
a6000,sum80,32768,5,7106,0,accelerator
a6000,sum80,32768,15,7106,1,accelerator
a6000,sum80,32768,30,7106,3,accelerator
a6000,sum80,32768,60,7106,6,accelerator
a6000,sum80,32768,300,7106,33,accelerator
a6000,sum80,65536,5,7106,0,accelerator
a6000,sum80,65536,15,7106,0,accelerator
a6000,sum80,65536,30,7106,1,accelerator
a6000,sum80,65536,60,7106,2,accelerator
a6000,sum80,65536,300,7106,13,accelerator
a6000,sum200,8192,5,2842,0,accelerator
a6000,sum200,8192,15,2842,2,accelerator
a6000,sum200,8192,30,2842,5,accelerator
a6000,sum200,8192,60,2842,10,accelerator
a6000,sum200,8192,300,2842,50,accelerator
a6000,sum200,16384,5,2842,0,accelerator
a6000,sum200,16384,15,2842,1,accelerator
a6000,sum200,16384,30,2842,3,accelerator
a6000,sum200,16384,60,2842,6,accelerator
a6000,sum200,16384,300,2842,33,accelerator
a6000,sum200,32768,5,2842,0,accelerator
a6000,sum200,32768,15,2842,1,accelerator
a6000,sum200,32768,30,2842,2,accelerator
a6000,sum200,32768,60,2842,4,accelerator
a6000,sum200,32768,300,2842,24,accelerator
a6000,sum200,65536,5,2842,0,accelerator
a6000,sum200,65536,15,2842,0,accelerator
a6000,sum200,65536,30,2842,1,accelerator
a6000,sum200,65536,60,2842,2,accelerator
a6000,sum200,65536,300,2842,11,accelerator
a6000,win10,8192,5,1421,125,accelerator
a6000,win10,8192,15,1421,377,accelerator
a6000,win10,8192,30,1421,755,accelerator
a6000,win10,16384,5,1421,78,accelerator
a6000,win10,16384,15,1421,236,accelerator
a6000,win10,16384,30,1421,472,accelerator
a6000,win10,16384,60,1421,945,accelerator
a6000,win10,32768,5,1421,57,accelerator
a6000,win10,32768,15,1421,172,accelerator
a6000,win10,32768,30,1421,344,accelerator
a6000,win10,32768,60,1421,688,accelerator
a6000,win10,65536,5,1421,32,accelerator
a6000,win10,65536,15,1421,98,accelerator
a6000,win10,65536,30,1421,197,accelerator
a6000,win10,65536,60,1421,394,accelerator
