fidelity,L_tokens,refresh_cost_s,refresh_interval_s,demand_fraction_per_session,sessions_per_gpu_accel
sum80,8192,3.07,5,0.614,1
sum80,8192,3.07,15,0.2047,4
sum80,8192,3.07,30,0.1023,9
sum80,8192,3.07,60,0.0512,19
sum80,8192,3.07,300,0.0102,97
sum80,16384,6.051,5,1.2101,0
sum80,16384,6.051,15,0.4034,2
sum80,16384,6.051,30,0.2017,4
sum80,16384,6.051,60,0.1008,9
sum80,16384,6.051,300,0.0202,49
sum80,32768,9.031,5,1.8062,0
sum80,32768,9.031,15,0.6021,1
sum80,32768,9.031,30,0.301,3
sum80,32768,9.031,60,0.1505,6
sum80,32768,9.031,300,0.0301,33
sum80,65536,21.918,5,4.3836,0
sum80,65536,21.918,15,1.4612,0
sum80,65536,21.918,30,0.7306,1
sum80,65536,21.918,60,0.3653,2
sum80,65536,21.918,300,0.0731,13
sum200,8192,5.932,5,1.1863,0
sum200,8192,5.932,15,0.3954,2
sum200,8192,5.932,30,0.1977,5
sum200,8192,5.932,60,0.0989,10
sum200,8192,5.932,300,0.0198,50
sum200,16384,9.037,5,1.8074,0
sum200,16384,9.037,15,0.6025,1
sum200,16384,9.037,30,0.3012,3
sum200,16384,9.037,60,0.1506,6
sum200,16384,9.037,300,0.0301,33
sum200,32768,12.142,5,2.4285,0
sum200,32768,12.142,15,0.8095,1
sum200,32768,12.142,30,0.4047,2
sum200,32768,12.142,60,0.2024,4
sum200,32768,12.142,300,0.0405,24
sum200,65536,25.312,5,5.0623,0
sum200,65536,25.312,15,1.6874,0
sum200,65536,25.312,30,0.8437,1
sum200,65536,25.312,60,0.4219,2
sum200,65536,25.312,300,0.0844,11
win10,8192,0.04,5,0.0079,125
win10,8192,0.04,15,0.0026,377
win10,8192,0.04,30,0.0013,755
win10,8192,0.04,60,0.0007,1511
win10,8192,0.04,300,0.0001,7556
win10,16384,0.063,5,0.0127,78
win10,16384,0.063,15,0.0042,236
win10,16384,0.063,30,0.0021,472
win10,16384,0.063,60,0.0011,945
win10,16384,0.063,300,0.0002,4728
win10,32768,0.087,5,0.0174,57
win10,32768,0.087,15,0.0058,172
win10,32768,0.087,30,0.0029,344
win10,32768,0.087,60,0.0015,688
win10,32768,0.087,300,0.0003,3440
win10,65536,0.152,5,0.0304,32
win10,65536,0.152,15,0.0101,98
win10,65536,0.152,30,0.0051,197
win10,65536,0.152,60,0.0025,394
win10,65536,0.152,300,0.0005,1973
full,8192,0.04,5,0.0079,125
full,8192,0.04,15,0.0026,377
full,8192,0.04,30,0.0013,755
full,8192,0.04,60,0.0007,1511
full,8192,0.04,300,0.0001,7556
full,16384,0.063,5,0.0127,78
full,16384,0.063,15,0.0042,236
full,16384,0.063,30,0.0021,472
full,16384,0.063,60,0.0011,945
full,16384,0.063,300,0.0002,4728
full,32768,0.087,5,0.0174,57
full,32768,0.087,15,0.0058,172
full,32768,0.087,30,0.0029,344
full,32768,0.087,60,0.0015,688
full,32768,0.087,300,0.0003,3440
full,65536,0.152,5,0.0304,32
full,65536,0.152,15,0.0101,98
full,65536,0.152,30,0.0051,197
full,65536,0.152,60,0.0025,394
full,65536,0.152,300,0.0005,1973
