vision_tokens,total_input_tokens,prefill_ms,gen_ms,kv_bytes_measured,kv_bytes_analytical,n_generated,peak_vram_bytes,image_name,rep,is_baseline
0,33,116.75,0.0,1892352,1892352,2,16605042688,text_only,0,True
0,33,25.8,27.71,1892352,1892352,2,16605042688,text_only,1,True
0,33,25.84,27.8,1892352,1892352,2,16605042688,text_only,2,True
