timestamp,target_depth,actual_prompt_tokens,prefill_time_ms,total_time_ms,ms_per_token,tokens_per_second,repeat,num_messages
2026-03-18T11:40:57.347100,256,293,55.8,55.9,0.1904,5250.9,1,6
2026-03-18T11:40:57.900380,256,293,52.5,52.5,0.1792,5581.0,2,6
2026-03-18T11:40:58.454750,256,293,53.7,53.8,0.1833,5456.2,3,6
2026-03-18T11:40:59.050722,512,555,95.6,95.6,0.1723,5805.4,1,8
2026-03-18T11:40:59.635763,512,555,84.3,84.3,0.1519,6583.6,2,8
2026-03-18T11:41:00.221573,512,555,85.1,85.1,0.1533,6521.7,3,8
2026-03-18T11:41:00.871789,1024,1073,149.5,149.5,0.1393,7177.3,1,10
2026-03-18T11:41:01.523946,1024,1073,151.4,151.5,0.1411,7087.2,2,10
2026-03-18T11:41:02.175237,1024,1073,150.6,150.6,0.1404,7124.8,3,10
2026-03-18T11:41:02.937993,2048,2037,262.0,262.0,0.1286,7774.8,1,12
2026-03-18T11:41:03.699405,2048,2037,261.1,261.1,0.1282,7801.6,2,12
2026-03-18T11:41:04.461293,2048,2037,261.1,261.1,0.1282,7801.6,3,12
2026-03-18T11:41:05.496893,4096,4082,534.8,534.8,0.131,7632.8,1,20
2026-03-18T11:41:06.532732,4096,4082,535.1,535.2,0.1311,7628.5,2,20
2026-03-18T11:41:07.567457,4096,4082,534.2,534.2,0.1309,7641.3,3,20
