timestamp,target_depth,actual_prompt_tokens,prefill_time_ms,total_time_ms,ms_per_token,tokens_per_second,repeat,num_messages
2026-03-18T14:03:35.621351,256,300,61.6,61.6,0.2053,4870.1,1,6
2026-03-18T14:03:36.184614,256,300,62.4,62.5,0.208,4807.7,2,6
2026-03-18T14:03:36.747227,256,300,62.1,62.1,0.207,4830.9,3,6
2026-03-18T14:03:37.338523,512,565,90.6,90.6,0.1604,6236.2,1,8
2026-03-18T14:03:37.930710,512,565,91.5,91.5,0.1619,6174.9,2,8
2026-03-18T14:03:38.523913,512,565,92.7,92.7,0.1641,6094.9,3,8
2026-03-18T14:03:39.180131,1024,1084,155.9,155.9,0.1438,6953.2,1,10
2026-03-18T14:03:39.837297,1024,1084,156.5,156.6,0.1444,6926.5,2,10
2026-03-18T14:03:40.493504,1024,1084,155.4,155.4,0.1434,6975.5,3,10
2026-03-18T14:03:41.299780,2048,2054,305.4,305.4,0.1487,6725.6,1,12
2026-03-18T14:03:42.103710,2048,2054,303.6,303.6,0.1478,6765.5,2,12
2026-03-18T14:03:42.905911,2048,2054,301.8,301.8,0.1469,6805.8,3,12
2026-03-18T14:03:44.010277,4096,4110,604.0,604.1,0.147,6804.6,1,20
2026-03-18T14:03:45.113032,4096,4110,602.1,602.1,0.1465,6826.1,2,20
2026-03-18T14:03:46.217718,4096,4110,604.0,604.1,0.147,6804.6,3,20
2026-03-18T14:03:48.041232,8192,8463,1323.0,1323.1,0.1563,6396.8,1,36
2026-03-18T14:03:49.868228,8192,8463,1326.2,1326.3,0.1567,6381.4,2,36
2026-03-18T14:03:51.697692,8192,8463,1328.8,1328.8,0.157,6368.9,3,36
2026-03-18T14:03:54.364308,12288,12870,2165.8,2165.9,0.1683,5942.4,1,50
2026-03-18T14:03:57.034357,12288,12870,2169.2,2169.3,0.1685,5933.1,2,50
2026-03-18T14:03:59.705630,12288,12870,2170.6,2170.6,0.1687,5929.2,3,50
2026-03-18T14:04:02.909769,16000,15378,2703.6,2703.6,0.1758,5688.0,1,53
2026-03-18T14:04:06.120039,16000,15378,2709.5,2709.5,0.1762,5675.6,2,53
2026-03-18T14:04:09.344194,16000,15378,2723.5,2723.5,0.1771,5646.4,3,53
