timestamp,target_depth,actual_prompt_tokens,prefill_time_ms,total_time_ms,ms_per_token,tokens_per_second,repeat,num_messages
2026-03-18T12:43:03.007460,256,293,54.7,54.7,0.1867,5356.5,1,6
2026-03-18T12:43:03.561795,256,293,53.6,53.6,0.1829,5466.4,2,6
2026-03-18T12:43:04.115694,256,293,53.2,53.3,0.1816,5507.5,3,6
2026-03-18T12:43:04.701098,512,555,84.6,84.7,0.1524,6560.3,1,8
2026-03-18T12:43:05.286421,512,555,84.6,84.6,0.1524,6560.3,2,8
2026-03-18T12:43:05.872393,512,555,85.1,85.1,0.1533,6521.7,3,8
2026-03-18T12:43:06.522053,1024,1073,149.0,149.0,0.1389,7201.3,1,10
2026-03-18T12:43:07.172835,1024,1073,150.0,150.1,0.1398,7153.3,2,10
2026-03-18T12:43:07.822858,1024,1073,149.6,149.6,0.1394,7172.5,3,10
2026-03-18T12:43:08.582978,2048,2037,259.7,259.7,0.1275,7843.7,1,12
2026-03-18T12:43:09.340846,2048,2037,257.6,257.6,0.1265,7907.6,2,12
2026-03-18T12:43:10.097409,2048,2037,256.2,256.3,0.1258,7950.8,3,12
2026-03-18T12:43:11.125674,4096,4082,527.5,527.5,0.1292,7738.4,1,20
2026-03-18T12:43:12.152649,4096,4082,526.3,526.4,0.1289,7756.0,2,20
2026-03-18T12:43:13.182045,4096,4082,528.6,528.7,0.1295,7722.3,3,20
2026-03-18T12:43:14.860321,8192,8410,1177.6,1177.6,0.14,7141.6,1,36
2026-03-18T12:43:16.541561,8192,8410,1180.6,1180.6,0.1404,7123.5,2,36
2026-03-18T12:43:18.225395,8192,8410,1183.0,1183.1,0.1407,7109.0,3,36
