timestamp,target_depth,actual_prompt_tokens,prefill_time_ms,total_time_ms,ms_per_token,tokens_per_second,repeat,num_messages
2026-03-18T12:43:43.975446,15000,15732,2442.5,2442.5,0.1553,6440.9,1,60
2026-03-18T12:43:46.921009,15000,15732,2444.9,2444.9,0.1554,6434.6,2,60
2026-03-18T12:43:49.866477,15000,15732,2444.8,2444.8,0.1554,6434.9,3,60
