tier,model,representation,L_tokens,restore_ms,update_ms,peak_mem_gb,state_bytes,kv_bytes,feasible,transfer_s_bw1m_rtt50ms,transfer_s_bw1m_rtt200ms,transfer_s_bw10m_rtt50ms,transfer_s_bw10m_rtt200ms,transfer_s_bw100m_rtt50ms,transfer_s_bw100m_rtt200ms
a6000,qwen7b,full,1024,165.11,,15.46,4498,58720256,1,0.086,0.236,0.0536,0.2036,0.0504,0.2004
a6000,qwen7b,window,1024,93.61,,,1876,58720256,1,0.065,0.215,0.0515,0.2015,0.0502,0.2002
a6000,qwen7b,summary_80,1024,27.71,2534.87,,317,58720256,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,1024,30.83,5722.38,,684,58720256,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,1024,66.07,,,,58720256,1,,,,,,
a6000,qwen7b,incr_cold,1024,199.92,,,,58720256,1,,,,,,
a6000,qwen7b,full,2048,325.4,,15.65,8617,117440512,1,0.1189,0.2689,0.0569,0.2069,0.0507,0.2007
a6000,qwen7b,window,2048,92.56,,,2176,117440512,1,0.0674,0.2174,0.0517,0.2017,0.0502,0.2002
a6000,qwen7b,summary_80,2048,28.51,2795.81,,317,117440512,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,2048,31.52,3524.72,,684,117440512,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,2048,37.55,,,,117440512,1,,,,,,
a6000,qwen7b,incr_cold,2048,345.49,,,,117440512,1,,,,,,
a6000,qwen7b,full,4096,666.97,,16.07,17246,234881024,1,0.188,0.338,0.0638,0.2138,0.0514,0.2014
a6000,qwen7b,window,4096,68.5,,,1333,234881024,1,0.0607,0.2107,0.0511,0.2011,0.0501,0.2001
a6000,qwen7b,summary_80,4096,28.66,2812.27,,317,234881024,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,4096,31.66,3563.1,,684,234881024,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,4096,44.86,,,,234881024,1,,,,,,
a6000,qwen7b,incr_cold,4096,716.95,,,,234881024,1,,,,,,
a6000,qwen7b,full,8192,1369.4,,16.89,34413,469762048,1,0.3253,0.4753,0.0775,0.2275,0.0528,0.2028
a6000,qwen7b,window,8192,62.32,,,1122,469762048,1,0.059,0.209,0.0509,0.2009,0.0501,0.2001
a6000,qwen7b,summary_80,8192,28.6,2824.19,,317,469762048,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,8192,31.82,3556.47,,684,469762048,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,8192,62.67,,,,469762048,1,,,,,,
a6000,qwen7b,incr_cold,8192,1458.29,,,,469762048,1,,,,,,
a6000,qwen7b,full,16384,3090.35,,18.53,68422,939524096,1,0.5974,0.7474,0.1047,0.2547,0.0555,0.2055
a6000,qwen7b,window,16384,70.49,,,1538,939524096,1,0.0623,0.2123,0.0512,0.2012,0.0501,0.2001
a6000,qwen7b,summary_80,16384,29.35,2825.48,,317,939524096,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
