threshold_dbm,n_below,n_total,frac_below
-65,485,16562,0.029283902910276535
-70,188,16562,0.011351286076560801
-75,151,16562,0.009117256370003622
-80,141,16562,0.008513464557420601
-85,98,16562,0.005917159763313609
-90,55,16562,0.0033208549692066176
