H_s,signal,n_timesteps,frac_reachable,persistence_accuracy,markov_D_to_D,markov_D_to_R,markov_R_to_D,markov_R_to_R,false_commit_rate,false_abstain_rate,bw_autocorr_H
10,cellid_based,28551,0.8562221988721936,0.7496233488665429,0.12938596491228072,0.8706140350877193,0.14621271023448051,0.8537872897655195,0.14621271023448051,0.8706140350877193,0.45794631760958565
10,stateI_duration_filtered,28551,0.9764631711673847,0.998598507410392,0.9702380952380952,0.02976190476190476,0.0007176432595356848,0.9992823567404643,0.0007176432595356848,0.02976190476190476,0.45794631760958565
30,cellid_based,28551,0.8562221988721936,0.7411731706461905,0.1,0.9,0.15118136030465582,0.8488186396953442,0.15118136030465582,0.9,0.26102575573042214
30,stateI_duration_filtered,28551,0.9764631711673847,0.995792573892921,0.9107142857142857,0.08928571428571429,0.0021544759237315525,0.9978455240762685,0.0021544759237315525,0.08928571428571429,0.26102575573042214
60,cellid_based,28551,0.8562221988721936,0.7575374679723421,0.15677655677655677,0.8432234432234432,0.14162157730775538,0.8583784226922446,0.14162157730775538,0.8432234432234432,0.21152777909432646
60,stateI_duration_filtered,28551,0.9764631711673847,0.9927696465550525,0.8467261904761905,0.15327380952380953,0.0037025054818649126,0.9962974945181351,0.0037025054818649126,0.15327380952380953,0.21152777909432646
