unix_t,state_D1_I0,cell_id,session_id
1576347390,1,12,0
1576347391,1,12,0
1576347392,1,12,0
1576347393,1,12,0
1576347394,1,12,0
1576347395,0,-1,0
1576347396,0,12,0
1576347397,0,12,0
1576347398,1,12,0
1576347399,1,12,0
1576347400,1,12,0
1576347401,1,12,0
1576347402,1,12,0
1576347403,0,-1,0
1576347404,1,12,0
1576347405,1,12,0
1576347406,1,12,0
1576347407,1,12,0
1576347408,1,12,0
1576347409,1,12,0
1576347410,1,12,0
1576347411,1,12,0
1576347412,0,-1,0
1576347413,1,12,0
1576347414,1,12,0
1576347415,1,12,0
1576347416,1,12,0
1576347417,1,12,0
1576347418,1,12,0
1576347419,1,12,0
1576347420,1,12,0
1576347421,0,-1,0
1576347422,1,12,0
1576347423,1,12,0
1576347424,1,12,0
1576347425,1,12,0
1576347426,1,12,0
1576347427,1,12,0
1576347428,1,12,0
1576347429,1,12,0
1576347430,0,-1,0
1576347431,1,12,0
1576347432,1,12,0
1576347433,1,12,0
1576347434,1,12,0
1576347435,1,12,0
1576347436,1,12,0
1576347437,1,12,0
1576347438,0,-1,0
1576347439,0,-1,0
1576347440,1,12,0
1576347441,1,12,0
1576347442,1,12,0
1576347443,1,12,0
1576347444,1,12,0
1576347445,1,12,0
1576347446,1,12,0
1576347447,0,-1,0
1576347448,1,12,0
1576347449,1,12,0
1576347450,1,12,0
1576347451,1,12,0
1576347452,0,-1,0
1576347453,1,12,0
1576347454,1,12,0
1576347455,1,12,0
1576347456,0,-1,0
1576347457,1,12,0
1576347458,1,12,0
1576347459,1,12,0
1576347460,1,12,0
1576347461,1,12,0
1576347462,1,12,0
1576347463,1,12,0
1576347464,1,12,0
1576347465,0,-1,0
1576347466,0,-1,0
1576347467,1,12,0
1576347468,1,12,0
1576347469,1,12,0
1576347470,0,-1,0
1576347471,1,12,0
1576347472,1,12,0
1576347473,1,12,0
1576347474,0,-1,0
1576347475,1,12,0
1576347476,1,12,0
1576347477,1,12,0
1576347478,1,12,0
1576347479,0,-1,0
1576347480,0,-1,0
1576347481,1,12,0
1576347482,1,12,0
1576347483,0,-1,0
1576347484,1,12,0
1576347485,1,12,0
1576347486,1,12,0
1576347487,1,12,0
1576347488,0,-1,0
1576347489,1,12,0
1576347490,1,12,0
1576347491,1,12,0
1576347492,0,-1,0
1576347493,1,12,0
1576347494,0,-1,0
1576347495,1,12,0
1576347496,1,12,0
1576347497,1,12,0
1576347498,1,12,0
1576347499,1,12,0
1576347500,1,12,0
1576347501,0,-1,0
1576347502,1,12,0
1576347503,1,12,0
1576347504,1,12,0
1576347505,1,12,0
1576347506,1,12,0
1576347507,1,12,0
1576347508,1,12,0
1576347509,1,12,0
1576347510,1,12,0
1576347511,1,12,0
1576347512,1,12,0
1576347513,1,12,0
1576347514,1,12,0
1576347515,1,12,0
1576347516,1,12,0
1576347517,1,12,0
1576347518,0,-1,0
1576347519,1,12,0
1576347520,1,12,0
1576347521,1,12,0
1576347522,1,12,0
1576347523,1,12,0
1576347524,1,12,0
1576347525,1,12,0
1576347526,1,12,0
1576347527,0,-1,0
1576347528,1,12,0
1576347529,0,12,0
1576347530,1,12,0
1576347531,1,12,0
1576347532,1,12,0
1576347533,1,12,0
1576347534,1,13,0
1576347535,1,13,0
1576347536,1,13,0
1576347537,0,-1,0
1576347538,1,13,0
1576347539,1,13,0
1576347540,1,13,0
1576347541,1,13,0
1576347542,1,13,0
1576347543,1,13,0
1576347544,1,13,0
1576347545,0,-1,0
1576347546,1,13,0
1576347547,1,13,0
1576347548,1,13,0
1576347549,1,13,0
1576347550,1,13,0
1576347551,1,13,0
1576347552,1,13,0
1576347553,1,13,0
1576347554,0,-1,0
1576347555,1,13,0
1576347556,1,13,0
1576347557,1,13,0
1576347558,1,13,0
1576347559,1,13,0
1576347560,1,13,0
1576347561,1,13,0
1576347562,1,13,0
1576347563,0,-1,0
1576347564,1,13,0
1576347565,1,13,0
1576347566,1,13,0
1576347567,1,13,0
1576347568,1,13,0
1576347569,1,13,0
1576347570,1,13,0
1576347571,0,-1,0
1576347572,1,13,0
1576347573,1,13,0
1576347574,1,13,0
1576347575,1,13,0
1576347576,1,13,0
1576347577,1,13,0
1576347578,1,13,0
1576347579,1,13,0
1576347580,1,13,0
1576347581,1,13,0
1576347582,1,13,0
1576347583,1,13,0
1576347584,1,13,0
1576347585,1,13,0
1576347586,1,13,0
1576347587,1,13,0
1576347588,0,-1,0
1576347589,1,13,0
1576347590,1,13,0
1576347591,1,13,0
1576347592,1,13,0
1576347593,1,13,0
1576347594,1,13,0
1576347595,1,13,0
1576347596,0,-1,0
1576347597,1,13,0
1576347598,1,13,0
1576347599,1,13,0
1576347600,1,13,0
1576347601,1,13,0
1576347602,1,13,0
1576347603,1,13,0
1576347604,0,-1,0
1576347605,0,-1,0
1576347606,1,13,0
1576347607,1,13,0
1576347608,1,13,0
1576347609,1,13,0
1576347610,1,13,0
1576347611,1,13,0
1576347612,1,13,0
1576347613,0,-1,0
1576347614,1,13,0
1576347615,1,13,0
1576347616,1,13,0
1576347617,1,13,0
1576347618,1,13,0
1576347619,0,-1,0
1576347620,1,13,0
1576347621,1,13,0
1576347622,1,13,0
1576347623,1,13,0
1576347624,1,13,0
1576347625,1,13,0
1576347626,1,13,0
1576347627,1,13,0
1576347628,1,13,0
1576347629,0,-1,0
1576347630,1,13,0
1576347631,1,13,0
1576347632,1,13,0
1576347633,1,13,0
1576347634,1,13,0
1576347635,1,13,0
1576347636,1,13,0
1576347637,1,13,0
1576347638,0,-1,0
1576347639,1,13,0
1576347640,1,13,0
1576347641,1,13,0
1576347642,1,13,0
1576347643,1,13,0
1576347644,1,13,0
1576347645,1,13,0
1576347646,1,13,0
1576347647,0,-1,0
1576347648,1,13,0
1576347649,1,13,0
1576347650,1,13,0
1576347651,1,13,0
1576347652,1,13,0
1576347653,1,13,0
1576347654,1,13,0
1576347655,0,-1,0
1576347656,1,13,0
1576347657,1,13,0
1576347658,1,13,0
1576347659,1,13,0
1576347660,1,13,0
1576347661,1,13,0
1576347662,1,13,0
1576347663,1,13,0
1576347664,0,-1,0
1576347665,1,13,0
1576347666,1,13,0
1576347667,1,13,0
1576347668,1,13,0
1576347669,1,13,0
1576347670,1,13,0
1576347671,1,13,0
1576347672,0,-1,0
1576347673,1,13,0
1576347674,1,13,0
1576347675,0,-1,0
1576347676,1,13,0
1576347677,1,13,0
1576347678,1,13,0
1576347679,1,13,0
1576347680,1,13,0
1576347681,0,-1,0
1576347682,1,13,0
1576347683,1,13,0
1576347684,1,13,0
1576347685,1,13,0
1576347686,1,13,0
1576347687,1,13,0
1576347688,1,13,0
1576347689,1,13,0
1576347690,0,-1,0
1576347691,1,13,0
1576347692,1,13,0
1576347693,1,13,0
1576347694,1,13,0
1576347695,1,13,0
1576347696,1,13,0
1576347697,1,13,0
1576347698,1,13,0
1576347699,0,-1,0
1576347700,1,13,0
1576347701,1,13,0
1576347702,1,13,0
1576347703,1,13,0
1576347704,1,13,0
1576347705,1,13,0
1576347706,1,13,0
1576347707,0,-1,0
1576347708,1,13,0
1576347709,1,13,0
1576347710,1,13,0
1576347711,1,13,0
1576347712,1,13,0
1576347713,1,13,0
1576347714,1,13,0
1576347715,1,13,0
1576347716,0,-1,0
1576347717,0,-1,0
1576347718,1,13,0
1576347719,1,13,0
1576347720,1,13,0
1576347721,1,13,0
1576347722,1,13,0
1576347723,1,13,0
1576347724,0,-1,0
1576347725,1,13,0
1576347726,1,13,0
1576347727,1,13,0
1576347728,1,13,0
1576347729,1,13,0
1576347730,1,13,0
1576347731,1,13,0
1576347732,1,13,0
1576347733,1,13,0
1576347734,1,13,0
1576347735,1,13,0
1576347736,1,13,0
1576347737,1,13,0
1576347738,1,13,0
1576347739,1,13,0
1576347740,1,13,0
1576347741,0,-1,0
1576347742,1,13,0
1576347743,1,13,0
1576347744,1,13,0
1576347745,1,13,0
1576347746,1,13,0
1576347747,1,13,0
1576347748,1,13,0
1576347749,1,13,0
1576347750,0,-1,0
1576347751,1,13,0
1576347752,1,13,0
1576347753,1,13,0
1576347754,1,13,0
1576347755,1,13,0
1576347756,1,13,0
1576347757,1,13,0
1576347758,0,-1,0
1576347759,0,-1,0
1576347760,1,13,0
1576347761,1,13,0
1576347762,1,13,0
1576347763,1,13,0
1576347764,1,13,0
1576347765,1,13,0
1576347766,1,13,0
1576347767,0,-1,0
1576347768,1,13,0
1576347769,1,13,0
1576347770,1,13,0
1576347771,1,13,0
1576347772,1,13,0
1576347773,1,13,0
1576347774,1,13,0
1576347775,1,13,0
1576347776,0,-1,0
1576347777,1,13,0
1576347778,1,13,0
1576347779,1,13,0
1576347780,1,13,0
1576347781,1,13,0
1576347782,1,13,0
1576347783,1,13,0
1576347784,1,13,0
1576347785,0,-1,0
1576347786,1,13,0
1576347787,1,13,0
1576347788,1,13,0
1576347789,1,13,0
1576347790,1,13,0
1576347791,1,13,0
1576347792,1,13,0
1576347793,0,-1,0
1576347794,1,13,0
1576347795,1,13,0
1576347796,1,13,0
1576347797,1,13,0
1576347798,0,13,0
1576347799,1,13,0
1576347800,1,13,0
1576347801,1,13,0
1576347802,1,13,0
1576347803,1,13,0
1576347804,1,13,0
1576347805,1,13,0
1576347806,1,12,0
1576347807,1,12,0
1576347808,1,12,0
1576347809,1,12,0
1576347810,1,12,0
1576347811,1,12,0
1576347812,1,12,0
1576347813,1,12,0
1576347814,1,12,0
1576347815,1,12,0
1576347816,1,12,0
1576347817,1,12,0
1576347818,1,12,0
1576347819,1,12,0
1576347820,1,12,0
1576347821,0,-1,0
1576347822,1,12,0
1576347823,1,12,0
1576347824,1,12,0
1576347825,1,12,0
1576347826,1,12,0
1576347827,1,12,0
1576347828,1,12,0
1576347829,1,12,0
1576347830,1,12,0
1576347831,1,12,0
1576347832,1,12,0
1576347833,1,12,0
1576347834,1,12,0
1576347835,1,12,0
1576347836,1,12,0
1576347837,1,12,0
1576347838,0,-1,0
1576347839,1,12,0
1576347840,1,12,0
1576347841,1,12,0
1576347842,1,12,0
1576347843,1,12,0
1576347844,1,12,0
1576347845,1,12,0
1576347846,1,12,0
1576347847,1,12,0
1576347848,1,12,0
1576347849,1,13,0
1576347850,1,13,0
1576347851,1,13,0
1576347852,1,13,0
1576347853,1,13,0
1576347854,1,13,0
1576347855,1,13,0
1576347856,0,-1,0
1576347857,1,13,0
1576347858,1,13,0
1576347859,1,13,0
1576347860,1,13,0
1576347861,1,13,0
1576347862,1,13,0
1576347863,0,-1,0
1576347864,1,13,0
1576347865,1,13,0
1576347866,1,13,0
1576347867,1,13,0
1576347868,1,13,0
1576347869,1,13,0
1576347870,1,13,0
1576347871,1,13,0
1576347872,1,13,0
1576347873,0,-1,0
1576347874,1,13,0
1576347875,1,13,0
1576347876,1,13,0
1576347877,1,13,0
1576347878,1,13,0
1576347879,1,2,0
1576347880,1,2,0
1576347881,0,-1,0
1576347882,1,2,0
1576347883,1,2,0
1576347884,1,2,0
1576347885,1,2,0
1576347886,1,2,0
1576347887,1,2,0
1576347888,1,2,0
1576347889,1,2,0
1576347890,0,-1,0
1576347891,1,2,0
1576347892,1,2,0
1576347893,1,2,0
1576347894,1,2,0
1576347895,1,2,0
1576347896,1,2,0
1576347897,0,-1,0
1576347898,1,13,0
1576347899,1,13,0
1576347900,1,13,0
1576347901,1,13,0
1576347902,1,2,0
1576347903,1,2,0
1576347904,1,2,0
1576347905,1,2,0
1576347906,1,2,0
1576347907,1,2,0
1576347908,1,2,0
1576347909,0,-1,0
1576347910,1,2,0
1576347911,0,-1,0
1576347912,1,13,0
1576347913,1,13,0
1576347914,1,13,0
1576347915,1,13,0
1576347916,1,13,0
1576347917,1,13,0
1576347918,1,13,0
1576347919,0,-1,0
1576347920,1,13,0
1576347921,1,13,0
1576347922,1,13,0
1576347923,1,13,0
1576347924,1,2,0
1576347925,0,-1,0
1576347926,1,7,0
1576347927,1,13,0
1576347928,1,13,0
1576347929,1,13,0
1576347930,1,13,0
1576347931,1,13,0
1576347932,1,13,0
1576347933,1,1,0
1576347934,1,1,0
1576347935,1,1,0
1576347936,1,1,0
1576347937,0,-1,0
1576347938,1,13,0
1576347939,0,-1,0
1576347940,1,13,0
1576347941,1,13,0
1576347942,1,13,0
1576347943,1,13,0
1576347944,1,13,0
1576347945,1,13,0
1576347946,1,13,0
1576347947,0,-1,0
1576347948,1,13,0
1576347949,1,13,0
1576347950,1,13,0
1576347951,1,3,0
1576347952,1,3,0
1576347953,1,3,0
1576347954,1,3,0
1576347955,1,3,0
1576347956,1,3,0
1576347957,0,-1,0
1576347958,1,3,0
1576347959,1,3,0
1576347960,1,3,0
1576347961,1,3,0
1576347962,1,3,0
1576347963,1,3,0
1576347964,1,3,0
1576347965,1,3,0
1576347966,1,3,0
1576347967,0,-1,0
1576347968,1,3,0
1576347969,1,3,0
1576347970,1,3,0
1576347971,1,3,0
1576347972,1,3,0
1576347973,1,3,0
1576347974,1,3,0
1576347975,1,3,0
1576347976,1,3,0
1576347977,0,-1,0
1576347978,1,3,0
1576347979,1,3,0
1576347980,1,3,0
1576347981,0,-1,0
1576347982,1,3,0
1576347983,1,3,0
1576347984,1,3,0
1576347985,1,3,0
1576347986,1,3,0
1576347987,1,3,0
1576347988,0,-1,0
1576347989,1,3,0
1576347990,1,3,0
1576347991,1,3,0
1576347992,1,3,0
1576347993,1,3,0
1576347994,1,3,0
1576347995,1,3,0
1576347996,1,3,0
1576347997,1,3,0
1576347998,0,-1,0
1576347999,1,3,0
1576348000,1,3,0
1576348001,1,3,0
1576348002,1,3,0
1576348003,1,3,0
1576348004,1,3,0
1576348005,1,3,0
1576348006,1,3,0
1576348007,1,3,0
1576348008,1,3,0
1576348009,0,-1,0
1576348010,1,3,0
1576348011,1,3,0
1576348012,1,3,0
1576348013,1,3,0
1576348014,1,3,0
1576348015,1,3,0
1576348016,1,3,0
1576348017,1,3,0
1576348018,1,3,0
1576348019,1,3,0
1576348020,0,-1,0
1576348021,1,3,0
1576348022,1,3,0
1576348023,0,-1,0
1576348024,1,3,0
1576348025,1,3,0
1576348026,1,3,0
1576348027,1,3,0
1576348028,1,3,0
1576348029,1,3,0
1576348030,0,-1,0
1576348031,1,3,0
1576348032,1,3,0
1576348033,1,3,0
1576348034,1,3,0
1576348035,1,3,0
1576348036,1,3,0
1576348037,1,3,0
1576348038,1,3,0
1576348039,1,3,0
1576348040,1,3,0
1576348041,0,-1,0
1576348042,1,3,0
1576348043,1,3,0
1576348044,1,3,0
1576348045,1,3,0
1576348046,1,3,0
1576348047,1,3,0
1576348048,1,3,0
1576348049,1,3,0
1576348050,1,3,0
1576348051,0,-1,0
1576348052,1,3,0
1576348053,1,3,0
1576348054,1,3,0
1576348055,1,3,0
1576348056,1,3,0
1576348057,1,3,0
1576348058,1,3,0
1576348059,1,3,0
1576348060,1,3,0
1576348061,0,-1,0
1576348062,1,3,0
1576348063,1,3,0
1576348064,1,3,0
1576348065,1,3,0
1576348066,1,3,0
1576348067,1,3,0
1576348068,1,3,0
1576348069,1,3,0
1576348070,1,3,0
1576348071,0,-1,0
1576348072,1,3,0
1576348073,1,3,0
1576348074,1,3,0
1576348075,1,3,0
1576348076,1,3,0
1576348077,1,3,0
1576348078,0,-1,0
1576348079,1,3,0
1576348080,1,3,0
1576348081,1,3,0
1576348082,1,3,0
1576348083,1,3,0
1576348084,1,3,0
1576348085,1,3,0
1576348086,1,3,0
1576348087,1,3,0
1576348088,1,3,0
1576348089,1,3,0
1576348090,1,3,0
1576348091,0,-1,0
1576348092,0,-1,0
1576348093,1,3,0
1576348094,1,3,0
1576348095,1,3,0
1576348096,1,3,0
1576348097,1,3,0
1576348098,1,3,0
1576348099,1,3,0
1576348100,1,3,0
1576348101,1,3,0
1576348102,1,3,0
1576348103,0,-1,0
1576348104,1,3,0
1576348105,1,3,0
1576348106,1,3,0
