unix_t,dl_bitrate_mbps,session_id
1576347390,0.007,0
1576347391,0.0035,0
1576347393,0.009,0
1576347399,0.0745,0
1576347400,14.316,0
1576347401,10.62,0
1576347402,16.739,0
1576347404,18.803,0
1576347405,8.023,0
1576347406,7.399,0
1576347407,10.045,0
1576347408,12.042,0
1576347409,12.772,0
1576347410,16.067,0
1576347411,5.862,0
1576347413,0.002,0
1576347414,39.077,0
1576347415,35.611,0
1576347416,22.253,0
1576347417,27.177,0
1576347418,23.112,0
1576347419,11.63,0
1576347420,9.593,0
1576347422,10.681,0
1576347423,16.361,0
1576347424,17.851,0
1576347425,18.459,0
1576347427,7.654,0
1576347428,7.783,0
1576347429,6.516,0
1576347431,9.892,0
1576347432,13.908,0
1576347433,17.429,0
1576347434,14.486,0
1576347435,17.712,0
1576347436,16.01,0
1576347437,17.2365,0
1576347440,0.005,0
1576347441,4.064,0
1576347442,17.808,0
1576347443,17.014,0
1576347444,22.439,0
1576347445,19.641,0
1576347446,13.585,0
1576347448,11.47,0
1576347449,11.954,0
1576347450,13.382,0
1576347451,10.055,0
1576347453,2.93,0
1576347454,0.002,0
1576347455,13.637,0
1576347457,14.838,0
1576347458,14.622,0
1576347459,14.342,0
1576347460,14.362,0
1576347461,17.06,0
1576347462,13.887,0
1576347463,15.613,0
1576347464,22.559,0
1576347467,21.405,0
1576347468,0.001,0
1576347469,6.907,0
1576347471,14.216,0
1576347472,10.088,0
1576347473,10.167,0
1576347475,9.839,0
1576347476,10.051,0
1576347477,9.28,0
1576347478,7.637,0
1576347481,1.988,0
1576347482,1.5185,0
1576347484,16.66,0
1576347485,14.908,0
1576347486,9.877,0
1576347487,10.116,0
1576347489,11.466,0
1576347490,14.35,0
1576347491,12.477,0
1576347493,16.733,0
1576347495,4.194,0
1576347496,0.002,0
1576347497,10.011,0
1576347498,9.879,0
1576347499,8.4,0
1576347500,11.5265,0
1576347502,18.414,0
1576347503,6.132,0
1576347504,6.499,0
1576347505,13.795,0
1576347506,15.658,0
1576347507,21.004,0
1576347508,13.581,0
1576347511,7.225,0
1576347512,13.9,0
1576347513,15.28,0
1576347514,12.689,0
1576347515,14.712,0
1576347516,14.46,0
1576347517,15.465,0
1576347519,3.884,0
1576347520,4.874,0
1576347521,10.762,0
1576347522,18.583,0
1576347523,2.317,0
1576347524,1.6635,0
1576347525,0.736,0
1576347526,0.011,0
1576347528,0.011,0
1576347530,3.095,0
1576347531,20.98,0
1576347532,22.038,0
1576347533,13.278,0
1576347534,11.287,0
1576347535,13.442,0
1576347536,10.116,0
1576347538,0.001,0
1576347539,12.26,0
1576347540,18.127,0
1576347541,14.601,0
1576347542,10.295,0
1576347543,13.936,0
1576347544,16.191,0
1576347546,12.725,0
1576347547,10.86,0
1576347548,9.12,0
1576347549,8.348,0
1576347550,9.342,0
1576347552,2.208,0
1576347553,15.197,0
1576347555,20.61,0
1576347556,20.032,0
1576347557,10.117,0
1576347558,6.009,0
1576347559,11.223,0
